0,20090.jpg,2,"[554, 445, 757, 975]",0.9999998807907104,"(690, 789)","(1034, 775)","(809, 982)","(726, 1156)","(1037, 1141)"
1,20098.jpg,2,"[772, 49, 819, 1182]",0.9998756647109985,"(876, 501)","(1236, 493)","(976, 709)","(901, 963)","(1124, 970)"
3,20108.jpg,2,"[971, 88, 668, 846]",0.9368537068367004,"(1207, 422)","(1426, 436)","(1276, 504)","(1224, 722)","(1390, 723)"
4,20111.jpg,2,"[996, 50, 576, 741]",0.9998229146003723,"(1079, 376)","(1326, 347)","(1165, 511)","(1135, 670)","(1313, 652)"
5,20117.jpg,2,"[1049, 151, 498, 649]",0.9997857213020325,"(1110, 410)","(1321, 413)","(1124, 531)","(1092, 692)","(1273, 699)"
6,20122.jpg,2,"[688, 344, 553, 727]",0.9994572997093201,"(769, 647)","(1013, 660)","(841, 822)","(779, 925)","(999, 933)"
7,20423.jpg,2,"[422, 112, 820, 1169]",0.9999932050704956,"(886, 585)","(1156, 631)","(1128, 875)","(845, 1012)","(1056, 1035)"
8,20646.jpg,2,"[759, 488, 598, 968]",0.9999669790267944,"(1114, 859)","(1314, 845)","(1344, 1034)","(1126, 1220)","(1284, 1197)"
9,20652.jpg,2,"[485, 341, 333, 412]",0.9970608353614807,"(637, 476)","(751, 480)","(758, 521)","(704, 636)","(785, 632)"
10,20658.jpg,2,"[678, 349, 518, 683]",0.9995869994163513,"(1000, 593)","(1140, 744)","(1074, 787)","(860, 842)","(957, 952)"
11,20668.jpg,2,"[647, 351, 758, 1026]",0.9995762705802917,"(779, 768)","(1110, 784)","(856, 998)","(756, 1130)","(1096, 1142)"
12,20674.jpg,2,"[733, 355, 711, 1082]",0.9913010001182556,"(877, 791)","(1199, 775)","(1009, 990)","(937, 1191)","(1165, 1178)"
13,20698.jpg,2,"[593, 307, 729, 1094]",0.9999825954437256,"(1047, 763)","(1261, 777)","(1288, 971)","(1062, 1172)","(1234, 1174)"
16,21466.jpg,2,"[441, 351, 955, 1246]",0.9999889135360718,"(585, 864)","(946, 840)","(672, 1095)","(625, 1300)","(962, 1276)"
19,21490.jpg,2,"[834, 86, 741, 967]",0.9998788833618164,"(945, 503)","(1156, 492)","(938, 678)","(975, 863)","(1148, 856)"
20,21491.jpg,2,"[784, 141, 686, 849]",0.9998164772987366,"(929, 508)","(1186, 469)","(1011, 677)","(995, 833)","(1224, 795)"
21,21492.jpg,2,"[889, 151, 572, 790]",0.9999244213104248,"(1002, 452)","(1162, 493)","(949, 612)","(930, 776)","(1058, 810)"
22,21493.jpg,2,"[880, 204, 500, 628]",0.9999997615814209,"(980, 438)","(1207, 450)","(1072, 585)","(999, 683)","(1161, 690)"
23,21494.jpg,2,"[956, 138, 510, 663]",0.9996548891067505,"(1090, 363)","(1295, 435)","(1103, 494)","(984, 593)","(1190, 661)"
24,21495.jpg,2,"[640, 248, 541, 711]",0.9969647526741028,"(912, 520)","(1114, 567)","(1031, 713)","(832, 748)","(1021, 789)"
25,21496.jpg,2,"[692, 343, 827, 1192]",0.998893678188324,"(1161, 814)","(1424, 803)","(1440, 1046)","(1217, 1282)","(1409, 1263)"
26,21499.jpg,2,"[479, 425, 865, 1223]",0.9990111589431763,"(821, 906)","(1174, 873)","(1087, 1082)","(847, 1315)","(1194, 1290)"
29,21801.jpg,2,"[767, 331, 862, 1194]",0.9949281215667725,"(944, 744)","(1335, 774)","(1056, 959)","(934, 1215)","(1225, 1230)"
30,21803.jpg,2,"[245, 438, 1185, 1631]",0.992771565914154,"(449, 1059)","(930, 987)","(599, 1326)","(555, 1672)","(882, 1634)"
